sno,date,street,postal code,city,extra
1,05/02/2019,ALEJA PIŁSUDSKIEGO 15/23,90-307,ŁÓDŹ,
2,05/02/2019,PLAC WOLNOSCI 2,96-230,BIALA RAWSKA,
3,05/02/2019,UL. ZELAZNA 59A,00-848,WARSZAWA,
4,05/02/2019,ul. Św. Antoniego 34,97-200,TOMASZÓW MAZOWIECKI,
5,05/02/2019,MAŁKOWSKIEGO 1,96-100,SKIERNIEWICE,
6,05/02/2019,UL. SIENKIEWICZA 34,99-300,KUTNO,
7,06/02/2019,UL. OKONIOWA 5 U3,91-498,ŁÓDŹ,
8,06/02/2019,Stary Rynek 13,99-400,Łowicz,
9,06/02/2019,ul. Prusa 8,,Koło,
10,06/02/2019,PL. NOWY RYNEK 8,99-400,ŁOWICZ,
11,07/02/2019,LESZKA CZARNEGO 15,97-500,RADOMSKO,
12,07/02/2019,ul. Śródmiejska 13,,Kalisz,
13,07/02/2019,RYNEK,98-260,BURZENIN,
14,07/02/2019,Dluga 10,28-200,Staszow,
15,08/02/2019,IGNACEGO PADEREWSKIEGO 31D-37,90-001,ŁÓDŹ,
16,08/02/2019,Zamenhofa 2,90-431,lodz,
17,08/02/2019,ul. Armii Krajowej 2,,Bełchatów,
18,08/02/2019,UL. ŚW. BARBARY 5,98-300,WIELUŃ,
19,08/02/2019,PIOTRKOWSKA 17,98-100,ŁASK,
20,10/02/2019,Półwiejska 42,61-888,Poznań,
21,11/02/2019,OKRĘŻNA 14,95-071,RĄBIEŃ,
22,11/02/2019,UL.SZCZECIŃSKA 61 LOK.67,91-222,ŁÓDŹ,
23,11/02/2019,UL.ŚW.TERESY 180,91-222,ŁÓDŹ,
24,11/02/2019,ul. 11 listopada 41,,Koluszki,
25,12/02/2019,STRZELECKA 22LOK52,93-334,ŁÓDŹ,
26,12/02/2019,ul. Długa 7,,Zgierz,
27,13/02/2019,ul. Wodna 47,,Stryków,
28,13/02/2019,M. Konopnickiej 83,97-532,Żytno,
29,13/02/2019,PARKOWA 3,95-080,TUSZYN,
30,13/02/2019,TARASZCZYŃSKA 44,97-330,SULEJÓW,
31,13/02/2019,"ul. Kościuszki 17, Bełchatów",,Bełchatów,
32,13/02/2019,LESZKA CZARNEGO 23,97-500,RADOMSKO,
33,14/02/2019,UL. GRUNWALDZKA 8,98-220,ZDUŃSKA WOLA,
34,14/02/2019,"ul. Śródmiejska 13, Kalisz",,Kalisz,
35,14/02/2019,BRATOSZEWSKIEGO 3 M.51,95-070,ALEKSANDRÓW ŁÓDZKI,
36,15/02/2019,K. Wyszyńskiego 5,99-300,Kutno,
37,15/02/2019,ZAWADY 67,99-400,ŁOWICZ,
38,15/02/2019,Stary Rynek 13,99-400,Łowicz,
39,19/02/2019,Rokicińska 190,,Łódź,
40,19/02/2019,"ul. Zamkowa 19, Pabianice",,Pabianice,
41,19/02/2019,UL. LOKATORSKA 10,93-024,ŁÓDŹ,
42,19/02/2019,ul. Wici 6,91-213,Łódź,
43,19/02/2019,UL.PABIANICKA 245,93-457,LODz,
44,20/02/2019,UL. PIOTRKOWSKA 7,97-510,RĘCZNO,
45,20/02/2019,Fabryczna 1/2H,97-400,Bełchatów,
46,20/02/2019,1 MAJA 57 A,97-400,BELCHATOW,
47,20/02/2019,KANONIEROW 2,97-200,TOMASZOW MAZOWIECKI,
48,20/02/2019,STARA RAWA,96-115,NOWY KAWĘCZYN,
49,20/02/2019,UL. ZELAZNA 59A,00-848,WARSZAWA,
50,20/02/2019,PLAC WOLNOSCI 2,96-230,BIALA RAWSKA,
51,20/02/2019,GŁÓWNA 26,95-081,DŁUTÓW,
52,20/02/2019,TORUŃSKA 17,99-300,KUTNO,
53,20/02/2019,SZAFIROWA 14,97-400,BEŁCHATÓW,
54,21/02/2019,UL. S. STERLINGA 26,90-212,ŁODŹ,
55,21/02/2019,UL. ŁOWICKA 7/11,95-015,GŁOWNO,
56,21/02/2019,KOMORNIKI 31 A,98-345,MOKRSKO,
57,21/02/2019,POW 27,98-200,SIERADZ,
58,21/02/2019,RYCHŁOCICE 73,98-313,KONOPNICA,
59,21/02/2019,MAZEW 38,99-107,DASZYNA,
60,21/02/2019,ROSOSZ 41 A,98-350,BIALA,
61,21/02/2019,SŁOWACKIEGO 6,98-100,ŁASK,
62,21/02/2019,BARCZEW 16,98-275,BRZEŹNIO/BARCZEW,
63,22/02/2019,Lodowa 107,93-232,Łódź,
64,22/02/2019,3 MAJA 1 lok.3,93-408,ŁÓDŹ,
65,22/02/2019,"ul. Sienkiewicza 5, Turek",,Turek,
66,25/02/2019,UL. AL.. KLONOWA 12,96-130,GŁUCHÓW,
67,25/02/2019,JESIENNA 46,99-300,KUTNO,
68,25/02/2019,Kaliska 8,99-400,lowicz,
69,25/02/2019,Sierakowice Lewe 41B,96-100,Skierniewice,
70,25/02/2019,Zachodnia 105,90-723,Łódź,
71,26/02/2019,UL. DĄBROWSKA 36,95-100,DĄBRÓWKA WIELKA,
72,26/02/2019,"ul. Zegarowa 9, Koło",,Koło,
73,26/02/2019,"ul. 3 maja 4/2, Kalisz",,Kalisz,
74,26/02/2019,"ul. Narutowicza 9/13, Piotrków Trybunalski",,Piotrków Trybunalski,
75,27/02/2019,UL. CHROBREGO-PAWILON,69-110,RZEPIN,
76,27/02/2019,AL. BOHATERÓW WARSZAWY 42/F036,70-342,SZCZECIN,
77,27/02/2019,ul. Lipowa 9,72-510,Miedzyzdroje,
78,27/02/2019,UL. Słowackiego 35,72-600,"Świnoujście",
79,27/02/2019,Skladowa 2,73-110,Stargard Szczecinski,
81,27/02/2019,"UL.BIAŁOWIESKA 2",70-001,SZCZECIN,
82,27/02/2019,UL. KOŚCIUSZKI 7,69-100,SŁUBICE,
83,27/02/2019,OBROĐCËW WESTERPLATTE 1,78-520,ZúOCIENIEC,
84,28/02/2019,UL. BANDURSKIEGO 7,94-020,ŁÓDŹ,
85,28/02/2019,Przemysłowa 5,98-300,Wieluń,
86,28/02/2019,GETTA ŻYDOWSKIEGO 7A,98-220,ZDUŃSKA WOLA,
87,28/02/2019,ROSOSZ 41 A,98-350,BIAŁA,
88,28/02/2019,BARCZEW 16,98-275,BRZEŹNIO/BARCZEW,
89,28/02/2019,ŚWIERKOWA 10,98-220,ZDUŃSKA WOLA,
90,01/03/2019,UL. WOLNOŚCI 5,97-505,DOBRYSZYCE,
91,01/03/2019,UL. WYSZYŃSKIEGO 17,97-500,RADOMSKO,
92,01/03/2019,"TUSZYŃSKA 72/74, 95-030, "RZGÓW",
93,01/03/2019,Kościuszki 1,97-425,Zelów,
94,01/03/2019,CIASNA 4/28,93-547,ŁÓDŹ,
95,01/03/2019,Chopina 5,95-100,Zgierz,
96,01/03/2019,PIOTRKOWSKA 17,98-100,ŁASK,
97,04/03/2019,"ul. 20 stycznia 58, Pabianice",,Pabianice,
98,04/03/2019,Zachodnia 105,90-723,Łódź,
99,04/03/2019,Zelazna 59a,00-848,Warszawa,
100,05/03/2019,UL. PARKOWA 65,71-621,SZCZECIN,
101,05/03/2019,UL. MAJORA WŁADYSŁAWA RAGINISA,71-625,SZCZECIN,
103,05/03/2019,UL. POLSKICH MARYNARZY 10/16,71-050,SZCZECIN,
104,05/03/2019,UL. WOJSKA POLSKIEGO 27,73-110,STARGARD SZCZECIŃSKI,
105,05/03/2019,STRZELECKA 40,74-300,MYŚLIBÓRZ,
106,05/03/2019,POMORSKA 6,74-304,NOWOGRÓDEK POMORSKI,
